X,avg_log2FC,pct.1,pct.2,p_val_adj
Arhgap39,0.156546926,0.872,0.879,1
Cnga1,0,0,0,1
Mapt,0.879591858,0.995,0.984,3.8783E-118
Bmpr1a,-0.064352245,0.678,0.757,1
Xkr4,0.343163907,0.952,0.969,1.61588E-06
Taf1c,-0.212987444,0.133,0.168,1
Zfp932,0.054024544,0.355,0.372,1
Lars,0.724095533,0.775,0.694,5.57813E-18
Tlcd1,0.821262474,0.02,0.011,1
Copg2,0.69433564,0.875,0.839,1.52846E-26
Larp1,-0.060230487,0.801,0.873,1
Ubqln4,-0.231019381,0.225,0.29,1
Cry1,-1.544784215,0.059,0.176,8.00409E-11
Kcnf1,-3.249667331,0.014,0.137,5.56615E-18
Nudt12,0.729676783,0.134,0.086,1
Carlr,0.039085527,0.006,0.007,1
Tmem14a,-1.549551074,0.051,0.165,3.82969E-11
Rbm8a,-0.089910854,0.155,0.173,1
Smg6,0.397144612,0.924,0.909,3.02028E-12
Ppp1r3d,-0.119276487,0.023,0.028,1
Kansl1,0.094318295,0.978,0.992,1
Olfr1426,0.779177662,0.004,0.003,1
Fhitos,-0.408799794,0.054,0.084,1
Pafah2,0.996663487,0.137,0.086,1
Ptpn3,0.867334531,0.842,0.79,4.28054E-32
Mab21l1,-1.253738027,0.002,0.006,1
Acp6,0.083665041,0.199,0.212,1
Mhrt,0.804933199,0.001,0.001,1
Arrdc5,-0.123357061,0.006,0.008,1
Rnf150,-0.348091506,0.845,0.93,6.96475E-15
Nppc,0.028818969,0.023,0.022,1
Mtmr3,0.402508795,0.822,0.788,1.873E-07
Il12rb2,-0.63917772,0.111,0.2,0.001729714
Mroh2b,-0.507117039,0.002,0.007,1
Ryr1,-3.453825884,0.022,0.207,1.67637E-30
Olah,-0.176150709,0.005,0.006,1
Slbp,-0.117307008,0.235,0.263,1
Osbp2,0.55737491,0.853,0.831,1.40558E-16
Cyp2r1,0.534369801,0.028,0.02,1
Atf4,-0.023394797,0.163,0.187,1
Lrrc14b,-0.886702436,0.012,0.023,1
Rem2,-1.36729495,0.019,0.054,1
Cacna1d,0.034998308,0.965,0.991,1
Gzf1,-0.320435744,0.176,0.234,1
Actg2,0.469569428,0.017,0.021,1
Klf12,1.144554089,0.908,0.833,2.77577E-74
Ppp2r5c,0.841031769,0.912,0.849,3.41882E-56
Ppic,-0.985658682,0,0.004,1
Vgll3,0.292761556,0.087,0.081,1
Spx,0.152960314,0.09,0.1,1
Nectin2,2.373432448,0.017,0.004,1
Chrng,0.237326764,0.016,0.011,1
Doc2g,-0.684721963,0.061,0.129,0.021261048
Theg,0.492292523,0.004,0.003,1
Olfr1284,0,0,0,1
Slc7a5,1.21348981,0.406,0.252,9.7815E-14
Pla2g12b,0,0,0,1
Atxn1l,0.899650599,0.264,0.169,0.000699549
Akap6,1.692450249,0.994,0.992,1.4885E-247
Srp54b,1.293099642,0.018,0.007,1
Olfr99,-1.45742177,0.004,0.013,1
Elof1,-0.118075977,0.063,0.08,1
Mea1,0.129235127,0.04,0.048,1
Ngp,1.634205284,0.007,0.001,1
Ttn,-0.657424203,0.063,0.113,1
Rbm18,0.350410477,0.287,0.243,1
Ftx,-0.157252837,0.799,0.884,0.04907973
Eif4g3,0.068765687,0.948,0.975,1
Cyth4,1.783206487,0.03,0.008,1
