X,SCI,IC
Magi2,0.036412612,-0.80538575
Peli3,-0.003796193,-0.804813019
Rimklb,-0.215482912,-0.804287493
Foxp2,0.130846995,-0.804284225
Rbm12b2,-0.184703922,-0.803926372
Elavl4,-0.34605502,-0.80328857
Tpcn2,0.080242115,-0.797798898
Elavl2,-0.175623036,-0.797299136
Strip1,0.130398739,-0.797101409
Slc25a36,0.01535584,-0.796759845
Scn4b,0.06323265,-0.796612121
Ldhb,0.077228805,-0.795343748
Cdkl5,-0.327870509,-0.79447433
Bcas2,0.036754833,-0.794418773
Decr2,-0.060463715,-0.792808385
Tmem126a,-0.014746225,-0.790129266
Cntnap4,-0.92623796,-0.789967199
Sptssa,0.082776557,-0.789046381
Gprin3,-0.025925521,-0.788654771
Spns2,0.156610617,-0.788527693
Rbis,0.044161235,-0.78837813
Slc35d1,-0.093237384,-0.786493697
Traf3ip2,-0.113599064,-0.784450998
Serpind1,-0.093672385,-0.783283265
Rab39,0.091516405,-0.782832487
Kbtbd11,0.044246198,-0.782339597
Dgkz,0.059323118,-0.782203965
Gabrb2,-0.258268539,-0.781655606
Gabra3,-0.06891446,-0.780918785
Matk,-0.006549462,-0.780799687
Dcbld2,-0.111594973,-0.78025649
Jph1,-0.018552041,-0.78012642
Chrm3,-0.035203992,-0.777337974
Glt8d2,0.148400213,-0.777085076
Epb41l4b,-0.15240594,-0.775751421
Kctd1,-0.068672281,-0.774731698
Ndufaf7,0.033349839,-0.77471843
Neurl1b,0.100045857,-0.771336504
Polr3g,-0.174683836,-0.770514901
Pradc1,-0.02860412,-0.770429942
Ackr4,-0.058393229,-0.770135133
Scrn1,-0.141601764,-0.769783244
P3h3,-0.031188686,-0.7693741
Hdac11,0.062445639,-0.76703078
Sppl2b,0.14852066,-0.766707399
Mrm3,-0.038701729,-0.766189138
Ppp5c,0.024474267,-0.765360626
Sytl2,-0.103380357,-0.765013566
Khdrbs2,-0.156178014,-0.763977204
Lrfn5,-0.025692336,-0.763810025
Disp1,-0.020852897,-0.763364538
Alg1,0.020591479,-0.763052958
Crip2,-0.226475767,-0.762339939
